id,content,optionA,optionB,optionC,optionD,answer,type,chapter,other,note
1,"俄国十月革命一声炮响,给中国送来了(B,给苦苦探寻救亡图存出路的中国人民指明了前进方向、提供了全新选择。",改良主义,马克思列宁主义,实用主义,无政府主义,,sChoice,,,
2,"1938年,毛泽东作了()的报告,这标志着“马克思主义的中国化”这一命题的正式提出。",《论新阶段》,《论新青年》,《论新时期》,《论新中国》,,sChoice,,,
3,标志着“马克思主义的中国化”这一命题正式提出的会议是(分,党的六届六中全会:8克思五又中同化,党的一大,党的二大,党的七大,,sChoice,,,
4,首次提出“中国特色社会主义理论体系”科学概念的会议是(C.,党的十五大,党的十六大,党的十七大,党的十八大,,sChoice,,,
5,马克思主义理论研究和建设工程重点教材《毛泽东思想和中国特色社会主义理论体系概论》的主线是(AP,理论联系实际,马克思主义中国化时代化,与时俱进,实事求是,,sChoice,,,
6,马克思主义中国化时代化的第一次历史性飞跃形成了(B。,邓小平理论,毛泽东思想,“三个代表”重要思想,习近平新时代中国特色社会主义思想,,sChoice,,,
7,马克思主义中国化时代化的第二次伟大飞跃发生在(DG,新民主主义革命时期,社会主义革命和建设时期,改革开放和社会主义现代化建设新时期,中国特色社会主义进入新时代,,sChoice,,,
8,马克思主义中国化时代化的新的飞跃形成了(C,毛泽东思想,科学发展观,习近平新时代中国特色社会主义思想,邓小平理论,,sChoice,,,
1,Error: 解析失败,,,,,,multChoice,,,
2,"马克思主义中国化时代化产生了两大理论成果一一毛泽东思想和中国特色社会主义理论体系,这两大理论成果之间的关系是(AGD",一脉相承又与时俱进,毛泽东思想为中国特色社会主义理论体系提供了基本遵循,"中国特色社会主义理论体系在新的历史条件下进一步丰富和发展了毛泽东思想,",两大理论成果都是马克思列宁主义在中国的运用和发展,,multChoice,,,
3,下列属于马克思主义中国化时代化的理论成果的是(AED,习近平新时代中国特色社会主义思想,邓小平理论,“三个代表”重要思想,科学发展观,,multChoice,,,
4,马克思主义中国化时代化就是运用马克思主义的立场、观点、方法深入研究和解决中国()不同历史ABC时期的实际问题。,革命,建设,改革,复兴,,multChoice,,,
