id,question,option,answer
1,机器学习主要是研究如何使用计算机来模拟或实现人类学习活动的科学。以下哪项不属于机器学习的主要任务？（ ）,"{'A': '数据分析', 'B': ' 预测建模', 'C': ' 数据可视化', 'D': '模式识别'}",C
2,在监督学习中，以下哪种算法通常用于分类问题？（ ）,"{'A': '支持向量机（SVM）', 'B': ' 主成分分析（PCA）', 'C': ' 线性回归', 'D': ' 聚类'}",A
3,深度神经网络（DNN）中，哪一层负责从输入数据中学习特征表示？（ ）,"{'A': '输出层', 'B': ' 隐藏层', 'C': ' 输入层', 'D': ' 所有层'}",B
4,在训练深度神经网络时，以下哪种方法可以用来防止过拟合？（ ）,"{'A': '减少隐藏层神经元数量', 'B': ' 提高学习率', 'C': ' 早期停止训练', 'D': ' 增加隐藏层数量'}",C
5,CNN中，卷积层的主要作用是什么？（ ）,"{'A': '实现分类功能', 'B': ' 减少参数数量', 'C': ' 增加特征图的维度', 'D': ' 提取局部特征'}",D
6,在训练CNN模型时，以下哪种方法可以用来防止过拟合？（ ）,"{'A': '提高学习率', 'B': ' 增加卷积层的数量', 'C': ' 使用Dropout技术', 'D': ' 减少池化层的数量'}",C
7,飞桨（PaddlePaddle）是哪个公司推出的深度学习平台？（ ）,"{'A': '华为', 'B': '百度', 'C': '腾讯', 'D': '阿里巴巴'}",B
8,飞桨高层API中，用于定义模型的类是？（ ）,"{'A': 'paddle.Layer', 'B': 'paddle.Model', 'C': 'paddle.net', 'D': 'paddle.Sequential'}",C
9,在飞桨中，以下哪个API用于数据的加载和预处理？（ ）,"{'A': 'paddle.preprocessing', 'B': 'paddle.data', 'C': 'paddle.vision.transforms', 'D': 'paddle.io.Dataset'}",D
10,在机器学习中，以下哪个概念指的是模型在训练数据上的表现很好，但在未知数据上表现不佳？（ ）,"{'A': '梯度消失', 'B': '过拟合', 'C': '欠拟合', 'D': '正则化'}",B
